evals,gbest,gen,invalid,max,mean,min,std
3800,0.69759,75,0,0.69783,0.6976330000000001,0.69759,4.7339201514169346e-05
3850,0.69759,76,0,0.69784,0.6976301999999999,0.6976,3.885820376703331e-05
3900,0.69759,77,0,0.69784,0.6976262,0.6976,3.989436050371519e-05
3950,0.69759,78,0,0.69781,0.6976299999999999,0.69759,4.204759208326394e-05
4000,0.69759,79,0,0.69796,0.6976365306122447,0.6976,5.597196894686848e-05
4050,0.69759,80,0,0.69807,0.6976379591836736,0.6976,7.483259117105451e-05
4100,0.69759,81,0,0.69912,0.6976627999999999,0.6976,0.0002131575942817877
4150,0.69759,82,0,0.70214,0.6977126,0.69759,0.0006331376153728347
4200,0.69759,83,0,0.69785,0.697623469387755,0.69759,3.571720104718977e-05
4250,0.69759,84,0,0.69769,0.6976200000000001,0.69759,1.884415136896212e-05
4300,0.69759,85,0,0.69815,0.6976402,0.69759,8.668310100591575e-05
4350,0.69759,86,0,0.69822,0.6976319999999998,0.69759,8.852118390531954e-05
4400,0.69759,87,0,0.69788,0.6976378,0.69759,5.835374880845296e-05
4450,0.69759,88,0,0.69773,0.6976233999999999,0.6976,2.5737909783049818e-05
4500,0.69759,89,0,0.69797,0.6976266000000001,0.69759,5.274883884977778e-05
4550,0.69759,90,0,0.69791,0.6976283999999998,0.69759,5.2358762399435314e-05
4600,0.69759,91,0,0.69768,0.6976189795918367,0.6976,1.5681120581469906e-05
4650,0.69759,92,0,0.6977,0.6976214285714286,0.6976,2.1759351731045287e-05
4700,0.69759,93,0,0.698,0.6976302000000001,0.69759,5.7008420430666485e-05
4750,0.69759,94,0,0.69805,0.6976458000000001,0.6976,8.354854876058911e-05
4800,0.69759,95,0,0.699,0.6976764,0.69759,0.0002697684933419747
4850,0.69759,96,0,0.69784,0.6976281999999999,0.69759,3.850662280699833e-05
4900,0.69759,97,0,0.69855,0.6976452000000001,0.69759,0.00013560589957668011
4950,0.69759,98,0,0.6984,0.6976465306122448,0.69759,0.00011895035871489209
5000,0.69759,99,0,0.69785,0.6976322448979592,0.69759,4.9000845728751705e-05
5050,0.69759,100,0,0.69814,0.6976363265306122,0.6976,7.92488685955697e-05
5100,0.69759,101,0,0.69785,0.6976282,0.69759,4.255302574436183e-05
5150,0.69759,102,0,0.69783,0.6976266000000001,0.69759,3.906968133987927e-05
5200,0.69759,103,0,0.69784,0.6976288,0.69759,5.038412448381496e-05
5250,0.69759,104,0,0.69783,0.6976293999999998,0.69759,3.754517279225091e-05
5300,0.69759,105,0,0.69784,0.6976302,0.6976,3.807834029997089e-05
5350,0.69759,106,0,0.69775,0.6976285999999999,0.69759,3.218757524264129e-05
5400,0.69759,107,0,0.69777,0.697626,0.69759,3.1811947441178325e-05
5450,0.69759,108,0,0.69799,0.6976359999999999,0.69759,6.639277069079331e-05
5500,0.69759,109,0,0.69821,0.6976372,0.69759,8.944361352271441e-05
5550,0.69759,110,0,0.69797,0.6976346,0.69759,7.384334770310007e-05
5600,0.69759,111,0,0.69783,0.697627,0.69759,3.8948684188298255e-05
5650,0.69759,112,0,0.69781,0.6976262000000001,0.69759,3.2917472563982415e-05
5700,0.69759,113,0,0.69781,0.6976235999999999,0.69759,3.1984996482733606e-05
5750,0.69759,114,0,0.69802,0.6976311999999999,0.6976,5.9553001603614326e-05
5800,0.69759,115,0,0.69934,0.697652,0.69759,0.00024176021178018133
5850,0.69759,116,0,0.69776,0.6976211999999999,0.69759,2.5740240869122842e-05
5900,0.69759,117,0,0.69773,0.6976204,0.6976,2.0195048898181672e-05
5950,0.69759,118,0,0.69769,0.6976224000000001,0.6976,1.5944905142405674e-05
6000,0.69759,119,0,0.69773,0.6976231999999999,0.69759,2.3016515809300133e-05
6050,0.69759,120,0,0.69805,0.6976348,0.69759,6.966318970589536e-05
6100,0.69759,121,0,0.69784,0.6976249999999999,0.6976,3.769615364994993e-05
6150,0.69759,122,0,0.6977,0.6976203999999998,0.69759,2.144388024588961e-05
6200,0.69759,123,0,0.69773,0.6976235999999999,0.69759,2.6135033958274645e-05
6250,0.69759,124,0,0.69794,0.6976306,0.69759,5.456775604695631e-05
6300,0.69759,125,0,0.69766,0.6976169999999999,0.69759,1.44568322947986e-05
6350,0.69759,126,0,0.69778,0.6976226,0.6976,2.567566941678268e-05
6400,0.69759,127,0,0.69771,0.6976201999999999,0.69759,2.044407004488817e-05
6450,0.69759,128,0,0.69783,0.6976231999999999,0.69759,3.307204257374639e-05
6500,0.69759,129,0,0.69783,0.6976303999999999,0.69759,4.3172213285862746e-05
6550,0.69759,130,0,0.69858,0.6976454,0.69759,0.00013779999999999983
6600,0.69759,131,0,0.69785,0.6976239999999998,0.69759,3.698648401781243e-05
6650,0.69759,132,0,0.69776,0.6976248000000002,0.6976,3.182703253526597e-05
6700,0.69759,133,0,0.69814,0.6976336,0.69759,8.113593531845021e-05
6750,0.69759,134,0,0.69784,0.6976241999999999,0.69759,4.181339498295271e-05
6800,0.69759,135,0,0.698,0.6976283999999998,0.6976,6.416728138233463e-05
6850,0.69759,136,0,0.6977,0.6976204,0.6976,2.0780760332581232e-05
6900,0.69759,137,0,0.69779,0.6976226,0.6976,3.0516225192515165e-05
6950,0.69759,138,0,0.69783,0.6976244,0.6976,3.628553430776418e-05
7000,0.69759,139,0,0.69797,0.6976306,0.6976,5.811746725382737e-05
7050,0.69759,140,0,0.69783,0.6976292,0.69759,4.7951642307638414e-05
7100,0.69759,141,0,0.69855,0.6976392,0.69759,0.00013094792858231937
7150,0.69759,142,0,0.69798,0.6976314285714286,0.69759,6.167723755692953e-05
7200,0.69759,143,0,0.6977,0.6976213999999998,0.69759,1.8331393836807504e-05
7250,0.69759,144,0,0.69783,0.697625,0.69759,3.482814953453656e-05
7300,0.69759,145,0,0.69792,0.6976348,0.6976,6.496891564433502e-05
7350,0.69759,146,0,0.69777,0.6976245999999999,0.6976,3.4479559161919274e-05
7400,0.69759,147,0,0.69773,0.6976256,0.6976,2.7868261517364853e-05
7450,0.69759,148,0,0.69889,0.6976477999999999,0.69759,0.00017854175982105996
7500,0.69759,149,0,0.6977,0.697622,0.69759,2.1354156504065888e-05
7550,0.69759,150,0,0.6978,0.6976228,0.6976,2.8002856997100405e-05
7600,0.69759,151,0,0.69779,0.6976258,0.6976,3.611592446553934e-05
7650,0.69759,152,0,0.69983,0.6976675999999999,0.69759,0.00030980355065750336
7700,0.69759,153,0,0.69784,0.6976233999999999,0.69759,3.98301393419654e-05
7750,0.69759,154,0,0.69766,0.6976173999999999,0.69759,1.2776541002947764e-05
7800,0.69759,155,0,0.6977,0.6976244,0.6976,1.9407215153139353e-05
7850,0.69759,156,0,0.69771,0.697622,0.6976,1.854723699100756e-05
